name,when,project_col,type,owner_col,country_col,company_1,market_cap,company_2,partial_power,total_value,total_power,power_used,link_annou,comment_annou,
8002.T,2018-12-07,Construction of Jawa1 Gas-Fired IPP,GasTurbine,,Indonesia,Marubeni,8230000000,GE Samsung C&T,,1400,1760,1760,https://www.marubeni.com/en/news/2018/release/00047.html,,
8002.T,2018-08-31,Olkaria area of Nakuru County,Geothermal,,Kenya,Marubeni,8230000000,Fuji electric co.,,,83,83,https://www.marubeni.com/en/news/2018/release/20180831E.pdf,,
7011.T,2018-08-09,Nghi Son-2 thermal power project in Thanh Hoa province Northern Vietnam,GasTurbine,,Vietnam,Mitsubishi Hitachi Power Systems Ltd.,,Marubeni,,,1330,1330,https://www.mhps.com/news/20180809.html,,
SIE.DE,2018-07-31,Herne 6,GasTurbine,STEAG GuD Herne GmbH,Germany,Siemens AG,72000000000,,600,,600,600,https://press.siemens.com/global/en/pressrelease/siemens-builds-turnkey-combined-cycle-power-plant-herne,turnkey,
8002.T,2018-06-26,Rantau Dedap Geothermal Independent Power Project ,Geothermal,,Indonesia,Marubeni,8230000000,,,,,98,https://www.marubeni.com/en/news/2018/release/20180626E_1.pdf,,
SIE.DE,2018-04-19,Guangdong Province,GasTurbine,Huadian Fuxin Energy Corporation Limited,China,Siemens AG,72000000000,,1340,,,1340,https://press.siemens.com/global/en/pressrelease/siemens-secures-h-class-gas-turbine-order-china,,
SIE.DE,2018-03-28,Shushufindi,GasTurbine,Petroecuador,Ecuador,Siemens AG,72000000000,,8,,,8,https://press.siemens.com/global/en/pressrelease/petroecuador-selects-siemens-industrial-gas-turbine-power-shushufindi-refinery,,
SIE.DE,2018-03-22,Camisea,GasTurbine,Pluspetrol Peru Corporation S.A.,Peru,Siemens AG,72000000000,,32,,,32,https://press.siemens.com/global/en/pressrelease/siemens-deliver-sgt-700-compression-train-wellhead-project-peru,,
028260.KS,2018-03-16,Jawa 1 power plant,GasTurbine,PT Pertamina (Persero),Indonesia,Samsung C&T,,GE Marubeni,,1000,1760,1760,http://news.samsungcnt.com/samsung-ct-granted-1760-mw-ccgp-project-indonesia/,,
2727.HK,2018-03-15,Pancevo Combined Cycle Power Plant,GasTurbine,TE-TO Pancevo,Serbia,Ansaldo Energia / Shanghai Electric,9000000000,,200,40,200,200,https://www.ansaldoenergia.com/PublishingImages/news/pancevo/PressRelease_AE_Pancevo_Eng.pdf,turnkey owner is EPC contractor!,
SIE.DE,2018-03-07,Fermaca Enterprises,GasTurbine,Fermaca Enterprises,Mexico,Siemens AG,72000000000,,75,,,75,https://press.siemens.com/global/en/pressrelease/siemens-delivers-five-compressor-trains-fermaca-pipeline-mexico,,
7011.T,2018-02-09,Chonburi and Rayong provinces,GasTurbine,Gulf Energy Development Public Company Limited / Mitsui & Co. Ltd.,Thailand,Mitsubishi Hitachi Power Systems Ltd.,8200000000,,,,5300,5300,https://www.mhps.com/news/20180209.html,,
SIE.DE,2018-02-08,Winchell Lake Compressor Station in Alberta,GasTurbine,Nova Gas Transmission Ltd.,Canada,Siemens AG,72000000000,,38,,,38,https://press.siemens.com/global/en/pressrelease/siemens-supply-compressor-train-nova-gas-transmission-ltd-pipeline-expansion,,
8002.T,2017-11-30,waste-to-energy power plant for Chonburi Clean Energy (“CCE”),WasteEnergy,WHA Utilities & Power Glow Energy and Suez Environment.,Thailand,Marubeni,8230000000,,,,7,7,https://www.marubeni.com/en/news/2017/release/201711302.pdf,,
GE,2017-11-29,power plant in Shahjibazar,GasTurbine,Jiangsu Etern Company Limited,Bangladesh,GE,63000000000,,100,,,100,https://www.genewsroom.com/press-releases/ge-powers-lms100-gas-turbine-support-grid-stability-south-asia,,
GE,2017-11-22,14 Electric Substations,Energy,Iraqi Ministry of Electricity,Iraq,GE,63000000000,,,400,,,https://www.genewsroom.com/press-releases/powering-iraq-north-south-ministry-electricity-and-ge-sign-400-million-contract,,
GE,2017-11-01,Bogue Power Station in Montego Bay,GasTurbine,Jamaica Public Service Company Limited ,Jamaica,GE,63000000000,,34,,,34,https://www.genewsroom.com/press-releases/ge-signs-repowering-deal-foster-energy-diversification-jamaica,,
GE,2017-10-25,Megawatt CPV Fairview Energy Center In Pennsylvania,GasTurbine,Competitive Power Ventures ,United States,GE,63000000000,,1050,700,1050,1050,https://www.genewsroom.com/press-releases/groundbreaking-held-new-1050-megawatt-cpv-fairview-energy-center-pennsylvania,,
GE,2017-10-11,Jenbacher Gas Engines for Waste-to-Energy FELDA Palm Oil Mills,CombEngine,Concord Green Energy Sdn Bhd (CGE) ,Malaysia,GE,63000000000,,5.6,,,5.6,https://www.genewsroom.com/press-releases/dana-engineering-chosen-concord-green-energy-supply-ges-jenbacher-gas-engines-waste,,
8002.T,2017-09-29,biomass co-firing power project in Shunan City Yamaguchi,WasteEnergy,Tokuyama Corporation (“Tokuyama”),Japan,Marubeni,8230000000,,,,300,300,https://www.marubeni.com/en/news/2017/release/00016.html,,
GE,2017-09-14,four substations in Mostasmerin Beni Suef Tami El Amdid and East Ismailia,Energy,Egyptian Electricity Transmission Company (EETC),Egypt,GE,63000000000,,,250,,,https://www.genewsroom.com/press-releases/ge-secures-financial-closure-build-four-substations-will-connect-7-gw-power,,
GE,2017-09-13,combined cycle power plant in the Bhola district,GasTurbine,Shapoorji Pallonji Group (SP Group),Bangladesh,GE,63000000000,,220,,,220,https://www.genewsroom.com/press-releases/ge-power-selected-another-major-gas-power-plant-contract-south-asia-0,,
